SiteID;Date Time;NOx;NO2;NO;PM10;NVPM10;VPM10;NVPM2.5;PM2.5;VPM2.5;CO;O3;SO2;Temperature;Location;geo_point_2d
459;2010-05-02T12:00:00+00:00;24.01;13.56;6.82;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-05-02T23:00:00+00:00;21.99;17.15;3.16;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-05-03T07:00:00+00:00;25.13;15.38;6.35;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-05-03T22:00:00+00:00;27.79;21.91;3.83;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-05-04T15:00:00+00:00;64.15;42.86;13.88;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-05-04T17:00:00+00:00;81.54;49.96;20.59;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-05-06T01:00:00+00:00;19.43;15.94;2.27;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-05-06T06:00:00+00:00;75.53;32.55;28.02;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-05-06T20:00:00+00:00;60.08;38.24;14.24;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-05-06T21:00:00+00:00;60.6;38.71;14.27;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-05-06T23:00:00+00:00;37.02;29.56;4.86;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-05-07T14:00:00+00:00;88.78;49.62;25.54;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-05-07T21:00:00+00:00;42.13;30.49;7.59;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-05-08T02:00:00+00:00;18.86;14.67;2.73;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-05-08T04:00:00+00:00;14.26;11.63;1.71;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-05-08T05:00:00+00:00;20.79;15.26;3.6;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-05-09T01:00:00+00:00;21.46;16.31;3.36;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-05-09T16:00:00+00:00;55.07;34.42;13.47;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-05-09T20:00:00+00:00;68.53;49.76;12.24;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-05-10T01:00:00+00:00;20.89;13.86;4.58;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-05-10T08:00:00+00:00;100.37;56.32;28.72;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-05-10T14:00:00+00:00;87.27;49.34;24.73;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-05-11T00:00:00+00:00;16.56;12.21;2.83;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-05-11T14:00:00+00:00;85.6;44.77;26.62;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-05-11T15:00:00+00:00;83.88;48.57;23.02;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-05-11T16:00:00+00:00;122.34;60.8;40.12;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-05-11T19:00:00+00:00;65.51;47.21;11.93;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-05-11T20:00:00+00:00;82.83;54.72;18.33;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-05-12T13:00:00+00:00;94.73;45.37;32.18;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-05-12T23:00:00+00:00;114.04;73.64;26.34;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-05-13T10:00:00+00:00;118.79;61.97;37.05;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-05-13T18:00:00+00:00;62.38;43.81;12.1;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-05-14T19:00:00+00:00;101.93;54.07;31.2;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-05-15T06:00:00+00:00;49.75;30.97;12.24;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-05-15T08:00:00+00:00;61.18;36.87;15.85;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-05-15T21:00:00+00:00;128.81;60.24;44.71;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-05-16T08:00:00+00:00;41.29;19.46;14.24;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-05-16T15:00:00+00:00;87.32;28.63;38.27;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-05-17T09:00:00+00:00;104.39;47.25;37.26;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-05-18T00:00:00+00:00;28.72;22.07;4.34;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-05-18T04:00:00+00:00;179.32;46.64;86.51;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-05-18T09:00:00+00:00;139.51;63.37;49.64;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-08-02T06:00:00+00:00;129.11;31.42;63.7;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-08-02T12:00:00+00:00;100.95;38.81;40.51;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-08-02T16:00:00+00:00;69.31;38.43;20.13;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-08-02T17:00:00+00:00;80.45;38.17;27.57;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-08-02T18:00:00+00:00;45.9;25.06;13.59;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-08-02T20:00:00+00:00;32.07;21.37;6.97;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-08-02T23:00:00+00:00;50.04;25.46;16.03;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-08-03T00:00:00+00:00;46.35;23.41;14.95;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-08-03T09:00:00+00:00;80.0;37.0;28.04;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-08-03T14:00:00+00:00;49.76;20.71;18.94;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-08-04T03:00:00+00:00;23.61;12.53;7.23;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-08-04T07:00:00+00:00;68.19;32.13;23.51;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
